mean doses per period,2 dose vial,5 dose vial,10 dose vial,20 dose vial
0,0.5,0.8,0.9,0.95
0.076923077,0.5,0.8,0.9,0.95
0.153846154,0.48,0.792,0.896,0.948
0.230769231,0.460063898,0.783795309,0.891897655,0.945948827
0.307692308,0.440254777,0.775386581,0.887693291,0.943846645
0.384615385,0.420634116,0.766774728,0.883387364,0.941693682
0.461538462,0.401261036,0.757960941,0.878980457,0.939490229
0.538461538,0.382191618,0.748946713,0.874473276,0.937236638
0.615384615,0.36347829,0.739733867,0.869866648,0.934933324
0.692307692,0.34516931,0.730324579,0.865161518,0.932580759
0.769230769,0.327308348,0.720721407,0.860358942,0.930179471
0.846153846,0.30993417,0.710927314,0.855460088,0.927730044
0.923076923,0.293080437,0.700945696,0.850466224,0.925233112
1,0.276775597,0.690780407,0.845378718,0.922689359
1.076923077,0.261042882,0.680435784,0.84019903,0.920099515
1.153846154,0.245900395,0.669916668,0.834928707,0.917464353
1.230769231,0.231361274,0.659228424,0.829569375,0.914784687
1.307692308,0.217433929,0.648376958,0.824122736,0.912061368
1.384615385,0.204122329,0.637368736,0.818590558,0.909295279
1.461538462,0.191426333,0.626210786,0.81297467,0.906487335
1.538461538,0.179342061,0.614910715,0.807276957,0.903638478
1.615384615,0.167862269,0.603476704,0.80149935,0.900749674
1.692307692,0.156976746,0.591917508,0.795643822,0.897821909
1.769230769,0.146672704,0.58024245,0.789712381,0.894856186
1.846153846,0.136935162,0.568461409,0.783707063,0.891853524
1.923076923,0.127747311,0.556584803,0.777629927,0.888814951
2,0.119090867,0.544623562,0.771483048,0.885741503
2.076923077,0.110946393,0.532589107,0.765268512,0.882634222
2.153846154,0.103293597,0.520493311,0.758988409,0.879494152
2.230769231,0.096111606,0.508348463,0.752644832,0.876322335
2.307692308,0.089379204,0.496167223,0.746239868,0.873119812
2.384615385,0.083075048,0.483962576,0.739775594,0.869887616
2.461538462,0.077177857,0.471747777,0.733254077,0.866626775
2.538461538,0.071666565,0.459536299,0.726677365,0.863338306
2.615384615,0.066520468,0.447341767,0.720047487,0.860023212
2.692307692,0.061719324,0.435177904,0.713366451,0.856682486
2.769230769,0.057243455,0.423058459,0.706636238,0.853317102
2.846153846,0.053073814,0.41099715,0.699858803,0.849928019
2.923076923,0.049192045,0.399007588,0.693036073,0.846516178
3,0.045580518,0.38710322,0.686169944,0.843082499
3.076923077,0.042222364,0.375297257,0.679262283,0.839627883
3.153846154,0.039101487,0.363602614,0.672314926,0.836153209
3.230769231,0.03620257,0.352031848,0.665329679,0.832659334
3.307692308,0.033511079,0.340597096,0.658308317,0.829147091
3.384615385,0.031013249,0.329310023,0.651252586,0.825617291
3.461538462,0.028696073,0.31818177,0.644164204,0.822070721
3.538461538,0.026547283,0.307222906,0.637044862,0.818508143
3.615384615,0.024555329,0.296443384,0.629896226,0.814930295
3.692307692,0.022709352,0.285852511,0.622719939,0.811337891
3.769230769,0.020999162,0.275458908,0.615517623,0.807731621
3.846153846,0.019415204,0.265270491,0.608290882,0.80411215
3.923076923,0.017948532,0.255294448,0.601041305,0.800480118
4,0.016590782,0.245537227,0.593770466,0.796836142
4.076923077,0.015334138,0.236004524,0.586479932,0.793180817
4.153846154,0.014171304,0.226701284,0.57917126,0.789514711
4.230769231,0.013095479,0.217631703,0.571846005,0.785838372
4.307692308,0.012100324,0.208799234,0.564505722,0.782152325
4.384615385,0.011179936,0.2002066,0.557151966,0.778457071
4.461538462,0.010328824,0.191855811,0.549786299,0.774753092
4.538461538,0.00954188,0.183748187,0.542410292,0.771040848
4.615384615,0.008814359,0.175884377,0.535025526,0.767320779
4.692307692,0.008141852,0.168264395,0.527633599,0.763593303
4.769230769,0.007520265,0.16088764,0.520236123,0.759858822
4.846153846,0.006945801,0.153752939,0.512834731,0.756117718
4.923076923,0.006414936,0.146858574,0.50543108,0.752370353
5,0.005924403,0.140202319,0.498026848,0.748617074
5.076923077,0.005471173,0.133781481,0.490623742,0.744858212
5.153846154,0.00505244,0.127592931,0.483223496,0.741094078
5.230769231,0.004665604,0.121633146,0.475827873,0.73732497
5.307692308,0.004308258,0.115898246,0.468438667,0.733551172
5.384615385,0.003978172,0.110384027,0.461057705,0.729772951
5.461538462,0.003673283,0.105086004,0.453686845,0.725990562
5.538461538,0.003391681,0.099999439,0.446327977,0.722204246
5.615384615,0.003131599,0.095119379,0.438983027,0.718414232
5.692307692,0.002891404,0.090440691,0.431653948,0.714620735
5.769230769,0.002669582,0.085958087,0.424342731,0.710823961
5.846153846,0.002464735,0.08166616,0.417051392,0.707024103
5.923076923,0.002275572,0.077559407,0.409781981,0.703221345
6,0.002100896,0.073632259,0.402536573,0.699415859
6.076923077,0.001939602,0.069879106,0.395317272,0.69560781
6.153846154,0.001790669,0.066294315,0.388126205,0.691797352
6.230769231,0.001653153,0.062872256,0.380965519,0.68798463
6.307692308,0.001526181,0.059607318,0.373837382,0.684169783
6.384615385,0.001408948,0.056493929,0.366743978,0.68035294
6.461538462,0.001300708,0.05352657,0.359687502,0.676534224
6.538461538,0.001200774,0.050699791,0.35267016,0.67271375
6.615384615,0.001108509,0.04800822,0.345694164,0.668891627
6.692307692,0.001023326,0.04544658,0.338761725,0.665067957
6.769230769,0.000944683,0.043009693,0.331875055,0.661242837
6.846153846,0.000872079,0.040692492,0.325036358,0.657416358
6.923076923,0.00080505,0.038490025,0.318247828,0.653588606
7,0.000743169,0.036397466,0.311511644,0.64975966
7.076923077,0.000686041,0.034410114,0.304829963,0.645929598
7.153846154,0.000633302,0.032523402,0.298204923,0.642098491
7.230769231,0.000584615,0.030732898,0.291638628,0.638266405
7.307692308,0.000539669,0.029034303,0.285133153,0.634433405
7.384615385,0.000498177,0.027423461,0.278690533,0.630599551
7.461538462,0.000459873,0.025896353,0.272312761,0.626764897
7.538461538,0.000424513,0.024449097,0.266001784,0.622929499
7.615384615,0.000391871,0.023077953,0.259759498,0.619093405
7.692307692,0.000361738,0.021779316,0.253587745,0.615256664
7.769230769,0.000333921,0.020549717,0.247488306,0.611419319
