mean doses per period,2 dose vial,5 dose vial,10 dose vial,20 dose vial
0,0.5,0.8,0.9,0.95
0.019230769,0.49615396,0.79845561,0.899227805,0.949613902
0.038461538,0.491375044,0.796514007,0.898257003,0.949128502
0.057692308,0.486628729,0.794560054,0.897280027,0.948640014
0.076923077,0.48191582,0.792593755,0.896296878,0.948148439
0.096153846,0.477237082,0.790615113,0.895307556,0.947653778
0.115384615,0.472593241,0.788624133,0.894312065,0.947156032
0.134615385,0.467984984,0.78662082,0.893310406,0.946655203
0.153846154,0.46341296,0.784605182,0.892302583,0.946151291
0.173076923,0.458877779,0.782577229,0.891288599,0.945644299
0.192307692,0.454380014,0.780536971,0.890268458,0.945134229
0.211538462,0.449920199,0.778484421,0.889242164,0.944621082
0.230769231,0.445498831,0.776419592,0.888209723,0.944104861
0.25,0.441116373,0.774342501,0.887171139,0.943585569
0.269230769,0.436773249,0.772253166,0.886126417,0.943063209
0.288461538,0.432469849,0.770151607,0.885075566,0.942537783
0.307692308,0.428206529,0.768037845,0.884018589,0.942009295
0.326923077,0.423983609,0.765911907,0.882955496,0.941477748
0.346153846,0.419801379,0.763773818,0.881886293,0.940943146
0.365384615,0.415660094,0.761623608,0.880810988,0.940405494
0.384615385,0.411559978,0.75946131,0.87972959,0.939864795
0.403846154,0.407501223,0.757286957,0.878642107,0.939321053
0.423076923,0.403483993,0.755100587,0.877548548,0.938774274
0.442307692,0.399508421,0.752902241,0.876448924,0.938224462
0.461538462,0.395574613,0.750691961,0.875343244,0.937671622
0.480769231,0.391682646,0.748469794,0.874231519,0.93711576
0.5,0.387832572,0.74623579,0.87311376,0.93655688
0.519230769,0.384024415,0.74399,0.871989978,0.935994989
0.538461538,0.380258177,0.74173248,0.870860185,0.935430092
0.557692308,0.376533832,0.73946329,0.869724393,0.934862196
0.576923077,0.372851335,0.737182493,0.868582615,0.934291307
0.596153846,0.369210616,0.734890154,0.867434863,0.933717431
0.615384615,0.365611584,0.732586343,0.866281152,0.933140576
0.634615385,0.362054129,0.730271135,0.865121494,0.932560747
0.653846154,0.358538119,0.727944606,0.863955905,0.931977952
0.673076923,0.355063406,0.725606837,0.862784399,0.931392199
0.692307692,0.351629821,0.723257914,0.86160699,0.930803495
0.711538462,0.348237179,0.720897925,0.860423695,0.930211847
0.730769231,0.344885281,0.718526965,0.859234529,0.929617264
0.75,0.341573909,0.716145129,0.858039508,0.929019754
0.769230769,0.338302832,0.713752521,0.856838648,0.928419324
0.788461538,0.335071805,0.711349244,0.855631968,0.927815984
0.807692308,0.331880569,0.70893541,0.854419483,0.927209741
0.826923077,0.328728855,0.706511133,0.853201212,0.926600606
0.846153846,0.325616379,0.704076531,0.851977173,0.925988586
0.865384615,0.322542848,0.701631728,0.850747383,0.925373691
0.884615385,0.319507959,0.699176851,0.849511862,0.924755931
0.903846154,0.316511398,0.696712033,0.848270629,0.924135314
0.923076923,0.313552843,0.69423741,0.847023703,0.923511851
0.942307692,0.310631965,0.691753124,0.845771104,0.922885551
0.961538462,0.307748424,0.689259321,0.844512852,0.922256425
0.980769231,0.304901875,0.686756151,0.843248967,0.921624482
1,0.302091967,0.68424377,0.84197947,0.920989734
1.019230769,0.299318342,0.681722337,0.840704382,0.92035219
1.038461538,0.296580637,0.679192018,0.839423724,0.919711861
1.057692308,0.293878484,0.676652982,0.838137519,0.919068758
1.076923077,0.291211511,0.674105402,0.836845788,0.918422892
1.096153846,0.288579342,0.671549457,0.835548553,0.917774274
1.115384615,0.285981596,0.668985331,0.834245837,0.917122915
1.134615385,0.283417893,0.666413212,0.832937662,0.916468827
1.153846154,0.280887845,0.663833293,0.831624053,0.915812022
1.173076923,0.278391067,0.66124577,0.830305031,0.91515251
1.192307692,0.275927169,0.658650846,0.828980622,0.914490305
1.211538462,0.27349576,0.656048727,0.827650849,0.913825417
1.230769231,0.271096451,0.653439624,0.826315735,0.913157859
1.25,0.268728848,0.650823753,0.824975306,0.912487643
1.269230769,0.266392559,0.648201335,0.823629587,0.911814782
1.288461538,0.264087193,0.645572592,0.822278601,0.911139287
1.307692308,0.261812356,0.642937754,0.820922376,0.910461172
1.326923077,0.259567659,0.640297054,0.819560935,0.909780449
1.346153846,0.257352709,0.63765073,0.818194305,0.909097131
1.365384615,0.255167117,0.634999022,0.816822511,0.908411231
1.384615385,0.253010496,0.632342176,0.81544558,0.907722762
1.403846154,0.250882459,0.629680442,0.814063538,0.907031737
1.423076923,0.24878262,0.627014072,0.812676412,0.90633817
1.442307692,0.246710597,0.624343324,0.811284229,0.905642073
1.461538462,0.244666009,0.62166846,0.809887014,0.90494346
1.480769231,0.242648477,0.618989743,0.808484797,0.904242344
1.5,0.240657626,0.616307441,0.807077603,0.90353874
1.519230769,0.238693082,0.613621826,0.805665462,0.902832661
1.538461538,0.236754474,0.610933173,0.804248399,0.90212412
1.557692308,0.234841435,0.608241759,0.802826444,0.901413133
1.576923077,0.2329536,0.605547866,0.801399624,0.900699711
1.596153846,0.231090608,0.602851778,0.799967969,0.89998387
1.615384615,0.229252101,0.600153781,0.798531505,0.899265624
1.634615385,0.227437723,0.597454164,0.797090262,0.898544987
1.653846154,0.225647124,0.59475322,0.795644269,0.897821973
1.673076923,0.223879955,0.592051243,0.794193555,0.897096596
1.692307692,0.222135872,0.589348529,0.792738149,0.896368872
1.711538462,0.220414534,0.586645377,0.791278079,0.895638813
1.730769231,0.218715605,0.583942087,0.789813376,0.894906435
1.75,0.217038752,0.581238963,0.788344069,0.894171753
1.769230769,0.215383644,0.578536307,0.786870187,0.89343478
1.788461538,0.213749957,0.575834426,0.785391761,0.892695532
1.807692308,0.212137369,0.573133625,0.78390882,0.891954023
1.826923077,0.210545562,0.570434214,0.782421395,0.891210269
1.846153846,0.208974224,0.5677365,0.780929516,0.890464283
1.865384615,0.207423043,0.565040793,0.779433212,0.889716081
1.884615385,0.205891714,0.562347404,0.777932515,0.888965677
1.903846154,0.204379936,0.559656643,0.776427455,0.888213087
1.923076923,0.20288741,0.556968821,0.774918062,0.887458325
1.942307692,0.201413844,0.554284248,0.773404368,0.886701406
1.961538462,0.199958947,0.551603237,0.771886404,0.885942345
1.980769231,0.198522433,0.548926097,0.770364199,0.885181158
2,0.197104021,0.546253139,0.768837786,0.88441786
2.019230769,0.195703433,0.543584672,0.767307196,0.883652464
2.038461538,0.194320395,0.540921005,0.76577246,0.882884988
2.057692308,0.192954637,0.538262445,0.764233609,0.882115444
2.076923077,0.191605893,0.535609299,0.762690675,0.88134385
2.096153846,0.190273902,0.532961872,0.761143689,0.880570219
2.115384615,0.188958405,0.530320467,0.759592684,0.879794567
2.134615385,0.187659147,0.527685387,0.75803769,0.879016909
2.153846154,0.186375879,0.525056932,0.75647874,0.87823726
2.173076923,0.185108353,0.522435398,0.754915866,0.877455636
2.192307692,0.183856327,0.519821082,0.7533491,0.876672051
2.211538462,0.182619562,0.517214277,0.751778475,0.87588652
2.230769231,0.181397822,0.514615273,0.750204021,0.875099059
2.25,0.180190875,0.512024359,0.748625772,0.874309683
2.269230769,0.178998493,0.509441818,0.74704376,0.873518406
2.288461538,0.177820452,0.506867932,0.745458018,0.872725244
2.307692308,0.176656531,0.50430298,0.743868578,0.871930213
2.326923077,0.175506511,0.501747238,0.742275473,0.871133326
2.346153846,0.17437018,0.499200975,0.740678736,0.8703346
2.365384615,0.173247327,0.49666446,0.7390784,0.869534048
2.384615385,0.172137744,0.494137956,0.737474497,0.868731687
2.403846154,0.171041227,0.491621724,0.735867062,0.86792753
2.423076923,0.169957577,0.489116018,0.734256126,0.867121594
2.442307692,0.168886596,0.48662109,0.732641724,0.866313892
2.461538462,0.167828091,0.484137186,0.731023888,0.86550444
2.480769231,0.166781869,0.481664549,0.729402653,0.864693253
2.5,0.165747744,0.479203416,0.727778052,0.863880345
2.519230769,0.164725532,0.476754019,0.726150119,0.863065731
